NARANJITO - GUAYAS
PALESTINA - GUAYAS
PEDRO CARBO - GUAYAS
SAMBORONDÓN - GUAYAS
SANTA LUCÍA - GUAYAS
SALITRE (URBINA JADO) - GUAYAS
SAN JACINTO DE YAGUACHI - GUAYAS
PLAYAS - GUAYAS
SIMÓN BOLÍVAR - GUAYAS
ORONEL MARCELINO MARIDUE - GUAYAS
LOMAS DE SARGENTILLO - GUAYAS
NOBOL - GUAYAS
GENERAL ANTONIO ELIZALDE - GUAYAS
ISIDRO AYORA - GUAYAS
IBARRA - IMBABURA
ANTONIO ANTE - IMBABURA
COTACACHI - IMBABURA
OTAVALO - IMBABURA
PIMAMPIRO - IMBABURA
SAN MIGUEL DE URCUQUÍ - IMBABURA
LOJA - LOJA
CALVAS - LOJA
CATAMAYO - LOJA
CELICA - LOJA
CHAGUARPAMBA - LOJA
ESPÍNDOLA - LOJA
GONZANAMÁ - LOJA
MACARÁ - LOJA
PALTAS - LOJA
PUYANGO - LOJA
SARAGURO - LOJA
SOZORANGA - LOJA
ZAPOTILLO - LOJA
PINDAL - LOJA
QUILANGA - LOJA
OLMEDO - LOJA
BABAHOYO - LOS RIOS
BABA - LOS RIOS
MONTALVO - LOS RIOS
PUEBLOVIEJO - LOS RIOS
QUEVEDO - LOS RIOS
URDANETA - LOS RIOS
VENTANAS - LOS RIOS
VÍNCES - LOS RIOS
PALENQUE - LOS RIOS
BUENA FÉ - LOS RIOS
VALENCIA - LOS RIOS
MOCACHE - LOS RIOS
QUINSALOMA - LOS RIOS
PORTOVIEJO - MANABI
BOLÍVAR - MANABI
CHONE - MANABI
EL CARMEN - MANABI
FLAVIO ALFARO - MANABI
JIPIJAPA - MANABI
JUNÍN - MANABI
MANTA - MANABI
MONTECRISTI - MANABI
PAJÁN - MANABI
PICHINCHA - MANABI
ROCAFUERTE - MANABI
SANTA ANA - MANABI
SUCRE - MANABI
TOSAGUA - MANABI
24 DE MAYO - MANABI
PEDERNALES - MANABI
OLMEDO - MANABI
PUERTO LÓPEZ - MANABI
JAMA - MANABI
JARAMIJÓ - MANABI
SAN VICENTE - MANABI
MORONA - MORONA SANTIAGO
GUALAQUIZA - MORONA SANTIAGO
LIMÓN INDANZA - MORONA SANTIAGO
PALORA - MORONA SANTIAGO
SANTIAGO - MORONA SANTIAGO
SUCÚA - MORONA SANTIAGO
HUAMBOYA - MORONA SANTIAGO
SAN JUAN BOSCO - MORONA SANTIAGO
TAISHA - MORONA SANTIAGO
LOGROÑO - MORONA SANTIAGO
PABLO SEXTO - MORONA SANTIAGO
TIWINTZA - MORONA SANTIAGO
TENA - NAPO
ARCHIDONA - NAPO
EL CHACO - NAPO
QUIJOS - NAPO
ARLOS JULIO AROSEMENA TOL - NAPO
PASTAZA - PASTAZA
MERA - PASTAZA
SANTA CLARA - PASTAZA
ARAJUNO - PASTAZA
QUITO - PICHINCHA
CAYAMBE - PICHINCHA
MEJIA - PICHINCHA
PEDRO MONCAYO - PICHINCHA
RUMIÑAHUI - PICHINCHA
SAN MIGUEL DE LOS BANCOS - PICHINCHA
PEDRO VICENTE MALDONADO - PICHINCHA
PUERTO QUITO - PICHINCHA
AMBATO - TUNGURAHUA
BAÑOS DE AGUA SANTA - TUNGURAHUA
CEVALLOS - TUNGURAHUA
MOCHA - TUNGURAHUA
PATATE - TUNGURAHUA
QUERO - TUNGURAHUA
SAN PEDRO DE PELILEO - TUNGURAHUA
SANTIAGO DE PÍLLARO - TUNGURAHUA
TISALEO - TUNGURAHUA
ZAMORA - ZAMORA CHINCHIPE
CHINCHIPE - ZAMORA CHINCHIPE
NANGARITZA - ZAMORA CHINCHIPE
YACUAMBI - ZAMORA CHINCHIPE
YANTZAZA (YANZATZA) - ZAMORA CHINCHIPE
EL PANGUI - ZAMORA CHINCHIPE
CENTINELA DEL CÓNDOR - ZAMORA CHINCHIPE
PALANDA - ZAMORA CHINCHIPE
PAQUISHA - ZAMORA CHINCHIPE
SAN CRISTÓBAL - GALAPAGOS
ISABELA - GALAPAGOS
SANTA CRUZ - GALAPAGOS
LAGO AGRIO - SUCUMBIOS
GONZALO PIZARRO - SUCUMBIOS
PUTUMAYO - SUCUMBIOS
SHUSHUFINDI - SUCUMBIOS
SUCUMBÍOS - SUCUMBIOS
CASCALES - SUCUMBIOS
CUYABENO - SUCUMBIOS
ORELLANA - ORELLANA
AGUARICO - ORELLANA
LA JOYA DE LOS SACHAS - ORELLANA
LORETO - ORELLANA
SANTO DOMINGO - NTO DOMINGO DE LOS TSACHIL
SANTA ELENA - SANTA ELENA
LA LIBERTAD - SANTA ELENA
SALINAS - SANTA ELENA
LAS GOLONDRINAS - ZONAS NO DELIMITADAS
MANGA DEL CURA - ZONAS NO DELIMITADAS
EL PIEDRERO - ZONAS NO DELIMITADAS
